Latin America & Caribbean (excluding high income),LAC,GDP (current US$),5086948752431.8,5844139513999.47
Lao PDR,LAO,GDP (current US$),18827148528.9934,15468785203.7532
Lebanon,LBN,GDP (current US$),23131941556.7843,
Liberia,LBR,GDP (current US$),3509000000,4001046970
Libya,LBY,GDP (current US$),39798423941.0335,45752336035.9846
St. Lucia,LCA,GDP (current US$),1961111111.11111,2343703703.7037
Latin America & Caribbean,LCN,GDP (current US$),5995774379433.37,6820032324993.66
Least developed countries: UN classification,LDC,GDP (current US$),1268104292678.22,1427108929198.74
Low income,LIC,GDP (current US$),465047139999.743,528124562231.918
Liechtenstein,LIE,GDP (current US$),7710380085.92257,
Sri Lanka,LKA,GDP (current US$),88548049121.4972,74403578363.4355
Lower middle income,LMC,GDP (current US$),7595602780154.06,8171521483867.57
Low & middle income,LMY,GDP (current US$),36996526502155.5,39309792048295.1
Lesotho,LSO,GDP (current US$),2348771013.21241,2236502124.16956
Late-demographic dividend,LTE,GDP (current US$),26841170398812.4,28075737913541.5
Lithuania,LTU,GDP (current US$),66798933785.7702,70974490450.4944
Luxembourg,LUX,GDP (current US$),85584105993.8746,81641807865.7591
Latvia,LVA,GDP (current US$),39443126174.4335,40932030049.5644
"Macao SAR, China",MAC,GDP (current US$),30969334705.0515,24042287326.5729
St. Martin (French part),MAF,GDP (current US$),649206262.847519,
Morocco,MAR,GDP (current US$),141817797083.468,130912558829.84
Monaco,MCO,GDP (current US$),8626081320.50612,8784002931.68665
Moldova,MDA,GDP (current US$),13692230147.0588,14508333280.4233
Madagascar,MDG,GDP (current US$),14554754116.5427,15297192798.9771
Maldives,MDV,GDP (current US$),5254366310.44801,6170638746.965
Middle East & North Africa,MEA,GDP (current US$),3741604188474.67,4426622170626.18
Mexico,MEX,GDP (current US$),1312557512901.28,1465854089286.47
Marshall Islands,MHL,GDP (current US$),257784881.591797,258774475.097656
Middle income,MIC,GDP (current US$),36528857052973,38780979645375.5
North Macedonia,MKD,GDP (current US$),13998355971.3044,13563132102.1663
Mali,MLI,GDP (current US$),19309463508.0377,18827176529.6983
Malta,MLT,GDP (current US$),18087205251.3605,18125564514.2664
Myanmar,MMR,GDP (current US$),66262813093.4824,62263466263.7375
Middle East & North Africa (excluding high income),MNA,GDP (current US$),1501058612658.02,1696713423184.71
Montenegro,MNE,GDP (current US$),5861427505.12493,6229801580.79157
Mongolia,MNG,GDP (current US$),15286441737.6686,17146471626.3963
Northern Mariana Islands,MNP,GDP (current US$),,
Mozambique,MOZ,GDP (current US$),16168056388.9101,18406835954.6695
Mauritania,MRT,GDP (current US$),9222536364.01272,9780863578.97688
Mauritius,MUS,GDP (current US$),11484357947.9086,12948726653.811
Malawi,MWI,GDP (current US$),12602334121.6286,13164667626.9363
Malaysia,MYS,GDP (current US$),373832428055.449,407027451714.616
North America,NAC,GDP (current US$),25323694505423.9,27585185220074.9
Namibia,NAM,GDP (current US$),12446290854.8973,12914932655.685
New Caledonia,NCL,GDP (current US$),10071349663.8484,9623318718.31459
Niger,NER,GDP (current US$),14915002435.9913,15342278919.4009
Nigeria,NGA,GDP (current US$),440838992188.478,472624597402.898
Nicaragua,NIC,GDP (current US$),14145880399.1935,15671583939.9889
Netherlands,NLD,GDP (current US$),1029678338329.44,1009398719033.08
Norway,NOR,GDP (current US$),490293364377.183,579422449510.271
Nepal,NPL,GDP (current US$),36924841428.7182,40828247303.5337
Nauru,NRU,GDP (current US$),145536615.893046,151647846.128953
New Zealand,NZL,GDP (current US$),255551704625.831,248101705541.399
OECD members,OED,GDP (current US$),58575950626292.4,59787849615043.1
Oman,OMN,GDP (current US$),88191977373.212,114667360208.062
Other small states,OSS,GDP (current US$),457103617285.36,530807158164.414
Pakistan,PAK,GDP (current US$),348516647445.148,374697366359.244
Panama,PAN,GDP (current US$),67406738100,76522511800
Peru,PER,GDP (current US$),223717799056.526,242631573320.79
Philippines,PHL,GDP (current US$),394087359844.049,404284326110.463
Palau,PLW,GDP (current US$),232903015.625,
Papua New Guinea,PNG,GDP (current US$),26113333244.5115,31603619041.7903
Poland,POL,GDP (current US$),681346136411.701,688125010520.52
Pre-demographic dividend,PRE,GDP (current US$),1432814193024.43,1617245641605.59
Puerto Rico,PRI,GDP (current US$),106368900000,113434800000
"Korea, Dem. People's Rep.",PRK,GDP (current US$),,
Portugal,PRT,GDP (current US$),255534839405.899,255196660987.427
Paraguay,PRY,GDP (current US$),39950899938.7482,41722295229.2279
West Bank and Gaza,PSE,GDP (current US$),18109000000,19111900000
Pacific island small states,PSS,GDP (current US$),9500154100.4459,10324332231.7802
Post-demographic dividend,PST,GDP (current US$),55679122288175.9,56661681236277.5
French Polynesia,PYF,GDP (current US$),6150640646.38319,5814661208.90544
Qatar,QAT,GDP (current US$),179732009554.846,236258302839.653
Romania,ROU,GDP (current US$),285810244501.933,300691354864.855
Russian Federation,RUS,GDP (current US$),1836892075547.52,2240422427458.58
Rwanda,RWA,GDP (current US$),11054517345.7109,13311487445.0686
South Asia,SAS,GDP (current US$),4062850047299.39,4390347563465.91
Saudi Arabia,SAU,GDP (current US$),874156115900.131,1108571517285.38
Sudan,SDN,GDP (current US$),34229513773.9708,51662241775.0629
Senegal,SEN,GDP (current US$),27569136729.9023,27684264748.2324
Singapore,SGP,GDP (current US$),423797100521.555,466788426791.966
Solomon Islands,SLB,GDP (current US$),1580303515.40945,1597204340.62902
Sierra Leone,SLE,GDP (current US$),4249234704.01866,4094563859.43556
El Salvador,SLV,GDP (current US$),29451240000,32488720000
San Marino,SMR,GDP (current US$),1855382833.1165,
Somalia,SOM,GDP (current US$),9838711529.45863,10419541202.0382
Serbia,SRB,GDP (current US$),63101069561.2193,63563401043.5044
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),1930171554030.08,2058942959164.7
South Sudan,SSD,GDP (current US$),,
Sub-Saharan Africa,SSF,GDP (current US$),1931458241338.34,2060531397309.08
Small states,SST,GDP (current US$),542727261728.343,636018280142.001
Sao Tome and Principe,STP,GDP (current US$),524402450.755612,542686976.457587
Suriname,SUR,GDP (current US$),3081401725.88833,3620987993.32637
Slovak Republic,SVK,GDP (current US$),118576482542.583,115461711688.965
Slovenia,SVN,GDP (current US$),61832201543.8285,60063475466.3446
Sweden,SWE,GDP (current US$),639714956069.468,591188594776.551
Eswatini,SWZ,GDP (current US$),4850842571.59151,4790922065.6101
Sint Maarten (Dutch part),SXM,GDP (current US$),1353071060.2652,1537088724.46126
Seychelles,SYC,GDP (current US$),1286687308.25807,1588438144.37685
Syrian Arab Republic,SYR,GDP (current US$),8969512933.38826,
Turks and Caicos Islands,TCA,GDP (current US$),1044778790,1138808881.1
Chad,TCD,GDP (current US$),11779981332.8631,12704149840.2283
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),20813163295456.1,21167325456079.4
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),4616362221588.67,5189746524698.23
Togo,TGO,GDP (current US$),8443112143.23844,8341225241.45693
Thailand,THA,GDP (current US$),505568063988.806,495423343049.622
Tajikistan,TJK,GDP (current US$),8937805347.13963,10492123387.7931
Turkmenistan,TKM,GDP (current US$),50007428571.4286,56542857142.8571
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),5281323492901.43,6001569526439.77
Timor-Leste,TLS,GDP (current US$),3621958000,3204753000
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),1482949612658.02,1677609783946.68
Tonga,TON,GDP (current US$),469228219.665791,
South Asia (IDA & IBRD),TSA,GDP (current US$),4062850047299.39,4390347563465.91
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),1931458241338.34,2060531397309.08
Trinidad and Tobago,TTO,GDP (current US$),24496505940.6673,30053575132.142
Tunisia,TUN,GDP (current US$),46687293140.3377,46303552449.3542
Turkiye,TUR,GDP (current US$),819865253669.661,907118435952.688
Tuvalu,TUV,GDP (current US$),60196405.7138393,59065979.0227679
Tanzania,TZA,GDP (current US$),70655628147.8986,75732311666.039
Uganda,UGA,GDP (current US$),40510241365.8914,45567304608.4764
Ukraine,UKR,GDP (current US$),199765859570.935,160502737251.047
Upper middle income,UMC,GDP (current US$),28933254272818.9,30609458161507.9
Uruguay,URY,GDP (current US$),61412268248.9461,71177146197.4951
United States,USA,GDP (current US$),23315080560000,25439700000000
Uzbekistan,UZB,GDP (current US$),69600614987.3509,80391853887.4049
St. Vincent and the Grenadines,VCT,GDP (current US$),872222222.222222,948559259.259259
"Venezuela, RB",VEN,GDP (current US$),,
British Virgin Islands,VGB,GDP (current US$),,
Virgin Islands (U.S.),VIR,GDP (current US$),4444000000,
Viet Nam,VNM,GDP (current US$),366137569122.215,408802378904.838
Vanuatu,VUT,GDP (current US$),971636097.850666,1055811723.74753
World,WLD,GDP (current US$),97529676807424.8,101325686724630
Samoa,WSM,GDP (current US$),843923638.733018,832945205.637185
Kosovo,XKX,GDP (current US$),9412034299.23122,9409473517.95304
"Yemen, Rep.",YEM,GDP (current US$),,
South Africa,ZAF,GDP (current US$),420117812463.841,405270850099.387
Zambia,ZMB,GDP (current US$),22096416933.7902,29163782138.3415
Zimbabwe,ZWE,GDP (current US$),28371238665.8646,27366627153.0852
